date_time,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume,last_1_hour_traffic,last_2_hour_traffic,last_3_hour_traffic,last_4_hour_traffic,last_5_hour_traffic,last_6_hour_traffic,hour,month_day,weekday,month,year
2016-01-01,1,273,88,4,334,3,3,265.94,0.0,0.0,90,Haze,haze,1513,1802.0,2768.0,3576.0,5467.0,5747.0,5747.0,0,1,5,1,2016
2016-01-01,1,145,89,4,336,1,1,265.94,0.0,0.0,90,Snow,light snow,1513,1513.0,1802.0,2768.0,3576.0,5467.0,5747.0,0,1,5,1,2016
2016-02-15,1,109,80,6,311,2,2,265.35,0.0,0.0,90,Mist,mist,785,2161.0,2161.0,2161.0,2259.0,2024.0,2301.0,0,15,1,2,2016
2016-05-30,1,136,66,3,98,2,2,288.38,0.0,0.0,1,Mist,mist,1082,1782.0,2548.0,2786.0,3012.0,3064.0,3064.0,0,30,1,5,2016
2016-07-04,1,47,54,1,180,5,5,289.95,0.0,0.0,1,Clear,sky is clear,1115,1985.0,2252.0,2513.0,2563.0,2718.0,3041.0,0,4,1,7,2016
2016-08-25,1,291,45,2,220,9,9,290.82,0.0,0.0,1,Clear,sky is clear,655,1169.0,1865.0,2615.0,3030.0,3356.0,4370.0,0,25,4,8,2016
2016-09-05,1,196,81,1,70,6,6,293.17,1.52,0.0,90,Rain,moderate rain,1064,1471.0,1471.0,2083.0,2083.0,2368.0,2773.0,0,5,1,9,2016
2016-09-05,1,241,62,5,103,9,9,293.17,1.52,0.0,90,Thunderstorm,proximity thunderstorm,1064,1064.0,1471.0,1471.0,2083.0,2083.0,2368.0,0,5,1,9,2016
2016-10-10,1,104,41,5,170,9,9,282.341,0.0,0.0,0,Clear,Sky is Clear,484,949.0,1613.0,1917.0,2405.0,3224.0,3788.0,0,10,1,10,2016
2016-11-11,1,104,88,3,303,2,2,281.96,0.0,0.0,1,Clear,sky is clear,572,1042.0,1694.0,1974.0,2384.0,2855.0,4176.0,0,11,5,11,2016
2016-11-24,1,78,79,6,40,1,1,274.34,0.0,0.0,75,Mist,mist,763,1331.0,1918.0,3155.0,3305.0,2730.0,3575.0,0,24,4,11,2016
2016-12-26,1,188,46,4,330,3,3,276.08,0.0,0.0,90,Rain,light rain,732,980.0,980.0,980.0,1481.0,1481.0,1481.0,0,26,1,12,2016
2016-12-26,1,287,46,7,310,3,3,276.08,0.0,0.0,90,Mist,mist,732,732.0,980.0,980.0,980.0,1481.0,1481.0,0,26,1,12,2016
2017-01-02,1,146,76,7,270,1,1,270.62,0.0,0.0,90,Snow,light snow,798,1043.0,1438.0,1777.0,1981.0,2412.0,2955.0,0,2,1,1,2017
2017-01-16,1,260,60,4,139,1,1,266.08,0.0,0.0,1,Mist,mist,698,1149.0,1638.0,2032.0,2523.0,2919.0,3187.0,0,16,1,1,2017
2017-01-16,1,144,55,4,120,4,4,266.08,0.0,0.0,1,Haze,haze,698,698.0,1149.0,1638.0,2032.0,2523.0,2919.0,0,16,1,1,2017
2017-02-20,1,67,100,2,70,1,1,285.059,0.0,0.0,68,Clouds,broken clouds,629,1030.0,1580.0,2263.0,2516.0,3109.0,3843.0,0,20,1,2,2017
